Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Zsíros B. Ödön";M;11a;;1;;;"4, 2";"5, 3, 2";4;;3.00
"Mikorka Mónika";F;11a;"2, 3, 4, 5, 3";"4, 3, 2, 2";;5;"1, 5, 1";"5, 3, 2, 2";"5, 3, 5";;3.25
"Remek Kálmán";M;11a;"2, 2, 3, 3";"1, 2";"5, 3";"5, 1, 1, 5";"3, 1, 5";"5, 4";"2, 4, 5, 2, 3";;3.05
"Rabsz Mercédesz";F;11a;"2, 3";;3;"5, 2, 4, 3";"3, 2";"3, 5, 4, 1, 3";"5, 1, 4, 2";3;3.05
"Bármi Piroska";F;11a;4;"4, 3, 1";"5, 1";"4, 4";"4, 1, 3, 4, 5";"4, 5, 5, 1";;"5, 2, 5, 5";3.57
"Víz Elek";M;11a;;"5, 3, 1";"2, 2, 1, 3, 1";"5, 4, 4";;;2;"4, 5, 2";2.93
"Mikorka Olga";F;11a;"1, 1";"4, 1, 4, 3";1;5;2;"4, 2, 1";3;"2, 3";2.47
"Harm Nóra";F;11a;"3, 1, 2, 3";"1, 5, 5";;"5, 2, 2";"4, 1, 3, 3";"4, 1, 1, 5";"5, 5, 4, 1";4;3.04
"Budipa Dóra";F;11a;"4, 2, 2, 4";"2, 2, 5, 2, 2";"3, 4";"3, 3";"1, 1, 5";;"3, 5";;2.94
"Szenyo Kálmán";M;11a;"5, 3, 4, 5";"2, 1, 1";"1, 2, 2, 2";;"5, 1, 1";1;"1, 3, 2, 2, 3";"4, 2";2.41
"Bor Ödön";M;11a;"2, 1, 2, 1";"2, 2";;;"3, 5, 3, 4";"4, 1, 5";"5, 5";"1, 1, 1";2.67
"Bekre Elemér";M;11a;"1, 1, 2, 4";3;2;"4, 3, 3, 1";3;;1;;2.33
"Pop Elemér";M;11a;"4, 1, 5, 2, 5";"3, 3";4;"4, 2, 3";"1, 4";"1, 2";"2, 2, 3";"4, 3";2.90
"Remek Szilárd";M;11a;;;"3, 3, 3, 4, 5";5;;"4, 2";"4, 2, 1, 2, 1";;3.00
"Virra Piroska";F;11a;"2, 1, 5, 4, 2";"2, 1";"4, 2";;"2, 4, 3, 2, 2";"2, 3, 5, 2, 5";5;"2, 5, 5";3.04
Osztályátlag;;11a;2.75;2.51;2.73;3.46;2.82;3.08;3.08;3.24;2.96
