Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Szalmon Virág";F;11b;"5, 1, 4, 1";"1, 1";;"4, 1, 3, 4, 3";1;3;3;"4, 1, 3";2.53
"Külö Ödön";M;11b;"4, 4, 5, 2, 1";"1, 3, 3, 4, 3";"2, 2, 2, 1, 2";"2, 1, 2, 4, 2";"3, 4";"1, 5, 2";"5, 4, 1, 5";1;2.70
"Fekete Ödön";M;11b;;5;"2, 3, 2";"4, 5, 3";4;;;"1, 3, 3";3.18
"Virra Ella";F;11b;2;"1, 3, 2";"3, 4, 2, 5";2;"1, 4, 3, 3, 5";"3, 2";;"4, 2, 2, 2, 2";2.71
"Békés Mercédesz";F;11b;4;"5, 1, 5, 4, 3";;"2, 3";"4, 1";2;"3, 4";2;3.07
"Git Áron";F;11b;;1;"5, 1, 2, 5";"2, 4";"3, 4";"5, 2";"1, 3, 4, 1, 5";"3, 3, 2, 5, 2";3.00
"Víz Lenke";F;11b;"3, 2, 1";"3, 4";"2, 5, 2, 1";;1;"2, 5, 4";3;"1, 2, 4, 2";2.61
"Bor Simon";M;11b;"1, 4";"3, 1, 1, 2, 1";;2;"1, 1, 1";"2, 4, 3";"2, 2, 5";"1, 2, 3";2.10
"Ének Áron";F;11b;"4, 2, 1";;4;2;"1, 1, 4, 4";"4, 4, 1, 2, 5";;"5, 5, 5, 4";3.22
"Ének Simon";M;11b;1;"5, 1, 5, 5, 2";"4, 2, 3, 4";"4, 3, 1, 5";;"4, 4";2;2;3.17
"Git Lenke";F;11b;"5, 5";"4, 5, 4, 2, 5";"4, 3, 4, 1, 3";"5, 3, 2";"4, 1";;5;"3, 5, 3, 5, 1";3.57
"Zsíros B. Blanka";F;11b;"5, 3, 5, 2";"4, 1, 5, 3";4;"5, 3";"3, 3, 2, 2";"1, 2, 4, 1, 5";"5, 1, 3";"2, 5";3.16
Osztályátlag;;11b;2.96;2.95;2.87;2.97;2.56;3.04;3.19;2.84;2.92
