Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Zsíros B. Mercédesz";F;11c;"4, 5, 1, 3";"4, 1";"5, 3, 4, 4, 3";"5, 3, 3, 5";"4, 4, 1, 2";;"1, 5, 1, 1, 5";"1, 5, 1";3.11
"Kasza Elek";M;11c;;"4, 1, 2, 5, 5";"5, 1";;;;"3, 3, 3, 5, 4";3;3.38
"Rabsz Pál";M;11c;"5, 5, 2, 2, 5";"2, 5, 3, 3, 5";"2, 1";"1, 1, 3, 4";;"5, 2";"4, 4, 3";5;3.27
"Rabsz Mónika";F;11c;"2, 1, 1, 4, 2";"3, 1, 5";;2;3;"2, 5, 4";;"1, 3, 1, 4";2.59
"Kard Viola";F;11c;"1, 5, 1";"2, 3, 4, 3";"4, 5";"4, 5, 5, 5, 1";"1, 4, 1, 3";"2, 1, 5";"2, 5, 5, 3";"4, 3, 4";3.25
"Bor Csaba";M;11c;"1, 1, 4";"1, 5, 2";"5, 4, 1, 4, 3";"5, 5, 2";"2, 4";"2, 3";;"4, 2, 2, 3, 4";3.00
"Patta Csaba";M;11c;"2, 5, 5, 1";"1, 5, 1";3;4;"5, 1, 1, 3, 4";"5, 4, 3";3;"4, 2, 3, 2, 4";3.09
"Minden Virág";F;11c;"5, 2";"2, 2";"1, 2, 4, 1, 1";"3, 4, 4";"3, 3, 1, 1, 5";;"5, 4, 1, 5";"2, 3, 1, 4, 3";2.77
"Szalmon Simon";M;11c;"1, 4, 4";5;"2, 3, 4, 1";"1, 4, 1";"4, 2, 5, 5";"1, 2, 4, 3";"4, 5, 4";"1, 5, 3, 5, 2";3.15
"Minden Szilárd";M;11c;"5, 1, 4";"4, 3";5;"5, 5";"2, 3";"3, 5";;"3, 3, 1, 4, 5";3.59
"Bármi Virág";F;11c;"2, 1, 2, 3";"2, 2";"3, 2";"3, 1";1;"1, 4, 3, 3";"2, 5, 4, 4, 3";"4, 4, 3";2.70
"Fekete Blanka";F;11c;"5, 3, 1";"1, 1";"2, 1";"1, 1";"5, 1";2;"1, 2, 4";"4, 1, 5, 1";2.21
"Dil Mónika";F;11c;;1;"4, 4";"2, 5, 1, 4, 4";4;;"3, 3, 3";2;3.08
"Remek Kálmán";M;11c;"5, 2";"1, 3";;"4, 1, 4, 2";"1, 4";"2, 4";;"2, 5";2.86
Osztályátlag;;11c;2.88;2.78;2.94;3.15;2.82;3.08;3.39;3.00;3.01
