Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Zsíros B. Ödön";M;11a;;1;;;"4, 2";"5, 3, 2";4;;3.00
"Mikorka Mónika";F;11a;"2, 3, 4, 5, 3";"4, 3, 2, 2";;5;"1, 5, 1";"5, 3, 2, 2";"5, 3, 5";;3.25
"Remek Kálmán";M;11a;"2, 2, 3, 3";"1, 2";"5, 3";"5, 1, 1, 5";"3, 1, 5";"5, 4";"2, 4, 5, 2, 3";;3.05
"Rabsz Mercédesz";F;11a;"2, 3";;3;"5, 2, 4, 3";"3, 2";"3, 5, 4, 1, 3";"5, 1, 4, 2";3;3.05
"Bármi Piroska";F;11a;4;"4, 3, 1";"5, 1";"4, 4";"4, 1, 3, 4, 5";"4, 5, 5, 1";;"5, 2, 5, 5";3.57
"Víz Elek";M;11a;;"5, 3, 1";"2, 2, 1, 3, 1";"5, 4, 4";;;2;"4, 5, 2";2.93
"Mikorka Olga";F;11a;"1, 1";"4, 1, 4, 3";1;5;2;"4, 2, 1";3;"2, 3";2.47
"Harm Nóra";F;11a;"3, 1, 2, 3";"1, 5, 5";;"5, 2, 2";"4, 1, 3, 3";"4, 1, 1, 5";"5, 5, 4, 1";4;3.04
"Budipa Dóra";F;11a;"4, 2, 2, 4";"2, 2, 5, 2, 2";"3, 4";"3, 3";"1, 1, 5";;"3, 5";;2.94
"Szenyo Kálmán";M;11a;"5, 3, 4, 5";"2, 1, 1";"1, 2, 2, 2";;"5, 1, 1";1;"1, 3, 2, 2, 3";"4, 2";2.41
"Bor Ödön";M;11a;"2, 1, 2, 1";"2, 2";;;"3, 5, 3, 4";"4, 1, 5";"5, 5";"1, 1, 1";2.67
"Bekre Elemér";M;11a;"1, 1, 2, 4";3;2;"4, 3, 3, 1";3;;1;;2.33
"Pop Elemér";M;11a;"4, 1, 5, 2, 5";"3, 3";4;"4, 2, 3";"1, 4";"1, 2";"2, 2, 3";"4, 3";2.90
"Remek Szilárd";M;11a;;;"3, 3, 3, 4, 5";5;;"4, 2";"4, 2, 1, 2, 1";;3.00
"Virra Piroska";F;11a;"2, 1, 5, 4, 2";"2, 1";"4, 2";;"2, 4, 3, 2, 2";"2, 3, 5, 2, 5";5;"2, 5, 5";3.04
Osztályátlag;;11a;2.75;2.51;2.73;3.46;2.82;3.08;3.08;3.24;2.96
"Szalmon Virág";F;11b;"5, 1, 4, 1";"1, 1";;"4, 1, 3, 4, 3";1;3;3;"4, 1, 3";2.53
"Külö Ödön";M;11b;"4, 4, 5, 2, 1";"1, 3, 3, 4, 3";"2, 2, 2, 1, 2";"2, 1, 2, 4, 2";"3, 4";"1, 5, 2";"5, 4, 1, 5";1;2.70
"Fekete Ödön";M;11b;;5;"2, 3, 2";"4, 5, 3";4;;;"1, 3, 3";3.18
"Virra Ella";F;11b;2;"1, 3, 2";"3, 4, 2, 5";2;"1, 4, 3, 3, 5";"3, 2";;"4, 2, 2, 2, 2";2.71
"Békés Mercédesz";F;11b;4;"5, 1, 5, 4, 3";;"2, 3";"4, 1";2;"3, 4";2;3.07
"Git Áron";F;11b;;1;"5, 1, 2, 5";"2, 4";"3, 4";"5, 2";"1, 3, 4, 1, 5";"3, 3, 2, 5, 2";3.00
"Víz Lenke";F;11b;"3, 2, 1";"3, 4";"2, 5, 2, 1";;1;"2, 5, 4";3;"1, 2, 4, 2";2.61
"Bor Simon";M;11b;"1, 4";"3, 1, 1, 2, 1";;2;"1, 1, 1";"2, 4, 3";"2, 2, 5";"1, 2, 3";2.10
"Ének Áron";F;11b;"4, 2, 1";;4;2;"1, 1, 4, 4";"4, 4, 1, 2, 5";;"5, 5, 5, 4";3.22
"Ének Simon";M;11b;1;"5, 1, 5, 5, 2";"4, 2, 3, 4";"4, 3, 1, 5";;"4, 4";2;2;3.17
"Git Lenke";F;11b;"5, 5";"4, 5, 4, 2, 5";"4, 3, 4, 1, 3";"5, 3, 2";"4, 1";;5;"3, 5, 3, 5, 1";3.57
"Zsíros B. Blanka";F;11b;"5, 3, 5, 2";"4, 1, 5, 3";4;"5, 3";"3, 3, 2, 2";"1, 2, 4, 1, 5";"5, 1, 3";"2, 5";3.16
Osztályátlag;;11b;2.96;2.95;2.87;2.97;2.56;3.04;3.19;2.84;2.92
"Zsíros B. Mercédesz";F;11c;"4, 5, 1, 3";"4, 1";"5, 3, 4, 4, 3";"5, 3, 3, 5";"4, 4, 1, 2";;"1, 5, 1, 1, 5";"1, 5, 1";3.11
"Kasza Elek";M;11c;;"4, 1, 2, 5, 5";"5, 1";;;;"3, 3, 3, 5, 4";3;3.38
"Rabsz Pál";M;11c;"5, 5, 2, 2, 5";"2, 5, 3, 3, 5";"2, 1";"1, 1, 3, 4";;"5, 2";"4, 4, 3";5;3.27
"Rabsz Mónika";F;11c;"2, 1, 1, 4, 2";"3, 1, 5";;2;3;"2, 5, 4";;"1, 3, 1, 4";2.59
"Kard Viola";F;11c;"1, 5, 1";"2, 3, 4, 3";"4, 5";"4, 5, 5, 5, 1";"1, 4, 1, 3";"2, 1, 5";"2, 5, 5, 3";"4, 3, 4";3.25
"Bor Csaba";M;11c;"1, 1, 4";"1, 5, 2";"5, 4, 1, 4, 3";"5, 5, 2";"2, 4";"2, 3";;"4, 2, 2, 3, 4";3.00
"Patta Csaba";M;11c;"2, 5, 5, 1";"1, 5, 1";3;4;"5, 1, 1, 3, 4";"5, 4, 3";3;"4, 2, 3, 2, 4";3.09
"Minden Virág";F;11c;"5, 2";"2, 2";"1, 2, 4, 1, 1";"3, 4, 4";"3, 3, 1, 1, 5";;"5, 4, 1, 5";"2, 3, 1, 4, 3";2.77
"Szalmon Simon";M;11c;"1, 4, 4";5;"2, 3, 4, 1";"1, 4, 1";"4, 2, 5, 5";"1, 2, 4, 3";"4, 5, 4";"1, 5, 3, 5, 2";3.15
"Minden Szilárd";M;11c;"5, 1, 4";"4, 3";5;"5, 5";"2, 3";"3, 5";;"3, 3, 1, 4, 5";3.59
"Bármi Virág";F;11c;"2, 1, 2, 3";"2, 2";"3, 2";"3, 1";1;"1, 4, 3, 3";"2, 5, 4, 4, 3";"4, 4, 3";2.70
"Fekete Blanka";F;11c;"5, 3, 1";"1, 1";"2, 1";"1, 1";"5, 1";2;"1, 2, 4";"4, 1, 5, 1";2.21
"Dil Mónika";F;11c;;1;"4, 4";"2, 5, 1, 4, 4";4;;"3, 3, 3";2;3.08
"Remek Kálmán";M;11c;"5, 2";"1, 3";;"4, 1, 4, 2";"1, 4";"2, 4";;"2, 5";2.86
Osztályátlag;;11c;2.88;2.78;2.94;3.15;2.82;3.08;3.39;3.00;3.01
